Threads,BlockSize,HackSize,Time_s,MFLOPS,NNZ,Matrix,Format,Mode,GFLOPS
28,-1,-1,0.00030688,26117.01,4007383,cant.mtx,CSR,OpenMP,26.117009999999997
29,-1,-1,0.00029931,26777.03,4007383,cant.mtx,CSR,OpenMP,26.77703
30,-1,-1,0.00030219,26522.06,4007383,cant.mtx,CSR,OpenMP,26.52206
31,-1,-1,0.00030113,26615.66,4007383,cant.mtx,CSR,OpenMP,26.61566
32,-1,-1,0.00028863,27768.73,4007383,cant.mtx,CSR,OpenMP,27.768729999999998
33,-1,-1,0.000281,28522.63,4007383,cant.mtx,CSR,OpenMP,28.52263
34,-1,-1,0.00027409,29241.3,4007383,cant.mtx,CSR,OpenMP,29.2413
35,-1,-1,0.00027443,29204.82,4007383,cant.mtx,CSR,OpenMP,29.204819999999998
36,-1,-1,0.00026847,29853.39,4007383,cant.mtx,CSR,OpenMP,29.85339
37,-1,-1,0.00051902,15442.2,4007383,cant.mtx,CSR,OpenMP,15.442200000000001
38,-1,-1,0.00047694,16804.62,4007383,cant.mtx,CSR,OpenMP,16.80462
39,-1,-1,0.00049237,16278.03,4007383,cant.mtx,CSR,OpenMP,16.27803
40,-1,-1,0.00049723,16118.74,4007383,cant.mtx,CSR,OpenMP,16.11874
1,-1,-1,9.41e-06,1563.26,7353,west2021.mtx,CSR,OpenMP,1.56326
2,-1,-1,1.581e-05,930.03,7353,west2021.mtx,CSR,OpenMP,0.93003
3,-1,-1,0.00010431,140.98,7353,west2021.mtx,CSR,OpenMP,0.14098
4,-1,-1,8.39e-06,1752.74,7353,west2021.mtx,CSR,OpenMP,1.75274
5,-1,-1,6.64e-06,2213.97,7353,west2021.mtx,CSR,OpenMP,2.2139699999999998
6,-1,-1,7.88e-06,1867.32,7353,west2021.mtx,CSR,OpenMP,1.8673199999999999
7,-1,-1,4.834e-05,304.24,7353,west2021.mtx,CSR,OpenMP,0.30424
8,-1,-1,8.63e-06,1703.83,7353,west2021.mtx,CSR,OpenMP,1.70383
9,-1,-1,1.483e-05,991.4,7353,west2021.mtx,CSR,OpenMP,0.9914
10,-1,-1,1.492e-05,985.42,7353,west2021.mtx,CSR,OpenMP,0.98542
11,-1,-1,2.575e-05,571.12,7353,west2021.mtx,CSR,OpenMP,0.57112
12,-1,-1,2.663e-05,552.2,7353,west2021.mtx,CSR,OpenMP,0.5522
13,-1,-1,2.615e-05,562.35,7353,west2021.mtx,CSR,OpenMP,0.56235
14,-1,-1,2.853e-05,515.37,7353,west2021.mtx,CSR,OpenMP,0.51537
15,-1,-1,2.979e-05,493.71,7353,west2021.mtx,CSR,OpenMP,0.49371
16,-1,-1,3.193e-05,460.59,7353,west2021.mtx,CSR,OpenMP,0.46059
17,-1,-1,3.662e-05,401.63,7353,west2021.mtx,CSR,OpenMP,0.40163
18,-1,-1,3.668e-05,400.87,7353,west2021.mtx,CSR,OpenMP,0.40087
19,-1,-1,3.844e-05,382.52,7353,west2021.mtx,CSR,OpenMP,0.38251999999999997
20,-1,-1,4.242e-05,346.69,7353,west2021.mtx,CSR,OpenMP,0.34669
21,-1,-1,4.212e-05,349.14,7353,west2021.mtx,CSR,OpenMP,0.34914
22,-1,-1,4.598e-05,319.82,7353,west2021.mtx,CSR,OpenMP,0.31982
23,-1,-1,4.598e-05,319.85,7353,west2021.mtx,CSR,OpenMP,0.31985
24,-1,-1,4.753e-05,309.38,7353,west2021.mtx,CSR,OpenMP,0.30938
25,-1,-1,4.752e-05,309.45,7353,west2021.mtx,CSR,OpenMP,0.30945
26,-1,-1,5.158e-05,285.13,7353,west2021.mtx,CSR,OpenMP,0.28513
27,-1,-1,5.306e-05,277.17,7353,west2021.mtx,CSR,OpenMP,0.27717
28,-1,-1,5.634e-05,261.0,7353,west2021.mtx,CSR,OpenMP,0.261
29,-1,-1,5.215e-05,282.01,7353,west2021.mtx,CSR,OpenMP,0.28201
30,-1,-1,5.292e-05,277.88,7353,west2021.mtx,CSR,OpenMP,0.27788
31,-1,-1,6.483e-05,226.85,7353,west2021.mtx,CSR,OpenMP,0.22685
