Threads,BlockSize,HackSize,Time_s,MFLOPS,NNZ,Matrix,Format,Mode,GFLOPS
-1,128,32,0.00014016,44004.94,3083796,roadNet-PA.mtx,HLL,CUDA,44.004940000000005
-1,256,32,0.00014154,43574.17,3083796,roadNet-PA.mtx,HLL,CUDA,43.574169999999995
-1,512,32,0.00014684,42003.5,3083796,roadNet-PA.mtx,HLL,CUDA,42.0035
-1,1024,32,0.00016211,38046.75,3083796,roadNet-PA.mtx,HLL,CUDA,38.04675
-1,128,32,0.00270388,94091.51,127206144,Cube_Coup_dt0.mtx,HLL,CUDA,94.09151
-1,256,32,0.00270706,93981.17,127206144,Cube_Coup_dt0.mtx,HLL,CUDA,93.98116999999999
-1,512,32,0.00270865,93925.99,127206144,Cube_Coup_dt0.mtx,HLL,CUDA,93.92599
-1,1024,32,0.0027037,94097.96,127206144,Cube_Coup_dt0.mtx,HLL,CUDA,94.09796
-1,128,32,2.009e-05,2427.33,24382,mcfe.mtx,HLL,CUDA,2.42733
-1,256,32,1.72e-05,2835.64,24382,mcfe.mtx,HLL,CUDA,2.8356399999999997
-1,512,32,1.767e-05,2759.64,24382,mcfe.mtx,HLL,CUDA,2.75964
-1,1024,32,1.99e-05,2450.75,24382,mcfe.mtx,HLL,CUDA,2.45075
-1,128,32,0.0001062,23980.6,1273389,mac_econ_fwd500.mtx,HLL,CUDA,23.9806
-1,256,32,0.00010513,24224.39,1273389,mac_econ_fwd500.mtx,HLL,CUDA,24.22439
-1,512,32,0.00011392,22355.22,1273389,mac_econ_fwd500.mtx,HLL,CUDA,22.355220000000003
-1,1024,32,0.00011595,21964.07,1273389,mac_econ_fwd500.mtx,HLL,CUDA,21.96407
-1,128,32,0.00011681,68613.93,4007383,cant.mtx,HLL,CUDA,68.61393
-1,256,32,0.00011604,69068.04,4007383,cant.mtx,HLL,CUDA,69.06804
-1,512,32,0.00011598,69106.15,4007383,cant.mtx,HLL,CUDA,69.10615
-1,1024,32,0.00011874,67500.72,4007383,cant.mtx,HLL,CUDA,67.50072
-1,128,32,1.196e-05,1229.43,7353,west2021.mtx,HLL,CUDA,1.22943
-1,256,32,1.051e-05,1399.82,7353,west2021.mtx,HLL,CUDA,1.3998199999999998
-1,512,32,1.14e-05,1289.46,7353,west2021.mtx,HLL,CUDA,1.28946
-1,1024,32,1.188e-05,1237.38,7353,west2021.mtx,HLL,CUDA,1.2373800000000001
-1,128,32,1.719e-05,8886.5,76367,cavity10.mtx,HLL,CUDA,8.8865
-1,256,32,1.691e-05,9034.52,76367,cavity10.mtx,HLL,CUDA,9.03452
-1,512,32,1.78e-05,8579.79,76367,cavity10.mtx,HLL,CUDA,8.579790000000001
-1,1024,32,2.293e-05,6661.46,76367,cavity10.mtx,HLL,CUDA,6.66146
-1,128,32,8.594e-05,61071.86,2624331,cop20k_A.mtx,HLL,CUDA,61.07186
-1,256,32,8.396e-05,62515.03,2624331,cop20k_A.mtx,HLL,CUDA,62.515029999999996
-1,512,32,8.613e-05,60940.25,2624331,cop20k_A.mtx,HLL,CUDA,60.94025
-1,1024,32,8.563e-05,61295.52,2624331,cop20k_A.mtx,HLL,CUDA,61.295519999999996
-1,128,32,0.0002463,66465.41,8185136,PR02R.mtx,HLL,CUDA,66.46541
-1,256,32,0.0002428,67422.87,8185136,PR02R.mtx,HLL,CUDA,67.42286999999999
-1,512,32,0.00024473,66892.14,8185136,PR02R.mtx,HLL,CUDA,66.89214
-1,1024,32,0.00024793,66027.05,8185136,PR02R.mtx,HLL,CUDA,66.02705
-1,128,32,0.00078143,7948.3,3105536,webbase-1M.mtx,HLL,CUDA,7.948300000000001
-1,256,32,0.00078154,7947.23,3105536,webbase-1M.mtx,HLL,CUDA,7.947229999999999
-1,512,32,0.0007638,8131.79,3105536,webbase-1M.mtx,HLL,CUDA,8.13179
-1,1024,32,0.00074041,8388.73,3105536,webbase-1M.mtx,HLL,CUDA,8.388729999999999
-1,128,32,1.567e-05,13047.67,102252,mhd4800a.mtx,HLL,CUDA,13.04767
-1,256,32,1.39e-05,14708.29,102252,mhd4800a.mtx,HLL,CUDA,14.708290000000002
-1,512,32,1.488e-05,13740.59,102252,mhd4800a.mtx,HLL,CUDA,13.740590000000001
-1,1024,32,1.833e-05,11155.09,102252,mhd4800a.mtx,HLL,CUDA,11.15509
-1,128,32,0.00039204,89534.03,17550675,af_1_k101.mtx,HLL,CUDA,89.53403
-1,256,32,0.00039475,88920.01,17550675,af_1_k101.mtx,HLL,CUDA,88.92000999999999
-1,512,32,0.00039613,88610.42,17550675,af_1_k101.mtx,HLL,CUDA,88.61042
-1,1024,32,0.00041288,85015.86,17550675,af_1_k101.mtx,HLL,CUDA,85.01586
-1,128,32,3.589e-05,23883.95,428650,bcsstk17.mtx,HLL,CUDA,23.883950000000002
-1,256,32,3.101e-05,27647.7,428650,bcsstk17.mtx,HLL,CUDA,27.6477
-1,512,32,3.221e-05,26614.97,428650,bcsstk17.mtx,HLL,CUDA,26.61497
-1,1024,32,3.671e-05,23353.05,428650,bcsstk17.mtx,HLL,CUDA,23.35305
-1,128,32,4.494e-05,45174.26,1015156,olafu.mtx,HLL,CUDA,45.174260000000004
-1,256,32,4.24e-05,47881.1,1015156,olafu.mtx,HLL,CUDA,47.881099999999996
-1,512,32,4.119e-05,49294.73,1015156,olafu.mtx,HLL,CUDA,49.29473
-1,1024,32,4.434e-05,45793.76,1015156,olafu.mtx,HLL,CUDA,45.79376
-1,128,32,0.00059281,93418.94,27689972,ML_Laplace.mtx,HLL,CUDA,93.41894
-1,256,32,0.0005928,93421.46,27689972,ML_Laplace.mtx,HLL,CUDA,93.42146000000001
-1,512,32,0.00059433,93180.52,27689972,ML_Laplace.mtx,HLL,CUDA,93.18052
-1,1024,32,0.00059482,93103.83,27689972,ML_Laplace.mtx,HLL,CUDA,93.10383
-1,128,32,0.01414114,108.39,766396,dc1.mtx,HLL,CUDA,0.10839
-1,256,32,0.01355791,113.06,766396,dc1.mtx,HLL,CUDA,0.11306000000000001
-1,512,32,0.01355713,113.06,766396,dc1.mtx,HLL,CUDA,0.11306000000000001
-1,1024,32,0.01355721,113.06,766396,dc1.mtx,HLL,CUDA,0.11306000000000001
-1,128,32,4.061e-05,35039.69,711558,thermomech_TK.mtx,HLL,CUDA,35.03969
-1,256,32,3.726e-05,38196.66,711558,thermomech_TK.mtx,HLL,CUDA,38.19666
-1,512,32,3.692e-05,38544.27,711558,thermomech_TK.mtx,HLL,CUDA,38.54427
-1,1024,32,4.048e-05,35153.25,711558,thermomech_TK.mtx,HLL,CUDA,35.15325
-1,128,32,3.315e-05,34659.35,574458,thermal1.mtx,HLL,CUDA,34.659349999999996
-1,256,32,3.068e-05,37442.51,574458,thermal1.mtx,HLL,CUDA,37.44251
-1,512,32,3.049e-05,37686.18,574458,thermal1.mtx,HLL,CUDA,37.68618
-1,1024,32,3.284e-05,34990.38,574458,thermal1.mtx,HLL,CUDA,34.990379999999995
-1,128,32,1.906e-05,50824.52,484256,af23560.mtx,HLL,CUDA,50.82452
-1,256,32,1.598e-05,60592.59,484256,af23560.mtx,HLL,CUDA,60.592589999999994
-1,512,32,1.613e-05,60039.67,484256,af23560.mtx,HLL,CUDA,60.03967
-1,1024,32,1.734e-05,55851.63,484256,af23560.mtx,HLL,CUDA,55.85163
-1,128,32,9.69e-06,10.11,49,cage4.mtx,HLL,CUDA,0.01011
-1,256,32,8.68e-06,11.29,49,cage4.mtx,HLL,CUDA,0.01129
-1,512,32,8.64e-06,11.35,49,cage4.mtx,HLL,CUDA,0.011349999999999999
-1,1024,32,8.93e-06,10.98,49,cage4.mtx,HLL,CUDA,0.01098
-1,128,32,9.96e-06,802.28,3996,olm1000.mtx,HLL,CUDA,0.80228
-1,256,32,9.33e-06,856.48,3996,olm1000.mtx,HLL,CUDA,0.85648
-1,512,32,9.77e-06,818.05,3996,olm1000.mtx,HLL,CUDA,0.8180499999999999
-1,1024,32,1.024e-05,780.22,3996,olm1000.mtx,HLL,CUDA,0.78022
-1,128,32,1.685e-05,6758.55,56934,rdist2.mtx,HLL,CUDA,6.7585500000000005
-1,256,32,1.612e-05,7061.67,56934,rdist2.mtx,HLL,CUDA,7.06167
-1,512,32,1.694e-05,6722.79,56934,rdist2.mtx,HLL,CUDA,6.72279
-1,1024,32,2.176e-05,5232.9,56934,rdist2.mtx,HLL,CUDA,5.2329
-1,128,32,0.00064044,89639.8,28704672,nlpkkt80.mtx,HLL,CUDA,89.63980000000001
-1,256,32,0.00063876,89876.91,28704672,nlpkkt80.mtx,HLL,CUDA,89.87691000000001
-1,512,32,0.00063861,89896.73,28704672,nlpkkt80.mtx,HLL,CUDA,89.89672999999999
-1,1024,32,0.00064062,89614.72,28704672,nlpkkt80.mtx,HLL,CUDA,89.61472
-1,128,32,3.585e-05,27479.47,492564,lung2.mtx,HLL,CUDA,27.479470000000003
-1,256,32,3.313e-05,29732.71,492564,lung2.mtx,HLL,CUDA,29.73271
-1,512,32,3.505e-05,28109.25,492564,lung2.mtx,HLL,CUDA,28.10925
-1,1024,32,3.644e-05,27030.69,492564,lung2.mtx,HLL,CUDA,27.03069
-1,128,32,5.196e-05,47527.44,1234877,amazon0302.mtx,HLL,CUDA,47.527440000000006
-1,256,32,5.554e-05,44466.1,1234877,amazon0302.mtx,HLL,CUDA,44.4661
-1,512,32,5.588e-05,44196.19,1234877,amazon0302.mtx,HLL,CUDA,44.19619
