Threads,BlockSize,HackSize,Time_s,MFLOPS,NNZ,Matrix,Format,Mode,GFLOPS
32,-1,16,0.03154849,8064.17,127206144,Cube_Coup_dt0.mtx,HLL,OpenMP,8.06417
33,-1,16,0.03151249,8073.38,127206144,Cube_Coup_dt0.mtx,HLL,OpenMP,8.07338
34,-1,16,0.03156449,8060.08,127206144,Cube_Coup_dt0.mtx,HLL,OpenMP,8.06008
35,-1,16,0.03173259,8017.38,127206144,Cube_Coup_dt0.mtx,HLL,OpenMP,8.01738
36,-1,16,0.03177548,8006.56,127206144,Cube_Coup_dt0.mtx,HLL,OpenMP,8.00656
37,-1,16,0.03177663,8006.27,127206144,Cube_Coup_dt0.mtx,HLL,OpenMP,8.00627
38,-1,16,0.03175614,8011.44,127206144,Cube_Coup_dt0.mtx,HLL,OpenMP,8.01144
39,-1,16,0.03180274,7999.7,127206144,Cube_Coup_dt0.mtx,HLL,OpenMP,7.9997
40,-1,16,0.03380719,7525.39,127206144,Cube_Coup_dt0.mtx,HLL,OpenMP,7.525390000000001
1,-1,16,6.791e-05,718.02,24382,mcfe.mtx,HLL,OpenMP,0.71802
2,-1,16,0.006295,7.75,24382,mcfe.mtx,HLL,OpenMP,0.00775
3,-1,16,0.0001959,248.92,24382,mcfe.mtx,HLL,OpenMP,0.24891999999999997
4,-1,16,3.393e-05,1437.28,24382,mcfe.mtx,HLL,OpenMP,1.43728
5,-1,16,2.923e-05,1668.53,24382,mcfe.mtx,HLL,OpenMP,1.66853
6,-1,16,2.639e-05,1847.54,24382,mcfe.mtx,HLL,OpenMP,1.84754
7,-1,16,2.707e-05,1801.22,24382,mcfe.mtx,HLL,OpenMP,1.80122
8,-1,16,2.479e-05,1967.1,24382,mcfe.mtx,HLL,OpenMP,1.9670999999999998
9,-1,16,2.436e-05,2001.47,24382,mcfe.mtx,HLL,OpenMP,2.00147
10,-1,16,2.36e-05,2066.59,24382,mcfe.mtx,HLL,OpenMP,2.06659
11,-1,16,4.022e-05,1212.28,24382,mcfe.mtx,HLL,OpenMP,1.21228
12,-1,16,4.887e-05,997.77,24382,mcfe.mtx,HLL,OpenMP,0.9977699999999999
13,-1,16,3.562e-05,1369.19,24382,mcfe.mtx,HLL,OpenMP,1.3691900000000001
14,-1,16,3.728e-05,1307.99,24382,mcfe.mtx,HLL,OpenMP,1.30799
15,-1,16,3.924e-05,1242.59,24382,mcfe.mtx,HLL,OpenMP,1.2425899999999999
16,-1,16,4.182e-05,1166.18,24382,mcfe.mtx,HLL,OpenMP,1.16618
17,-1,16,4.406e-05,1106.66,24382,mcfe.mtx,HLL,OpenMP,1.10666
18,-1,16,4.677e-05,1042.52,24382,mcfe.mtx,HLL,OpenMP,1.04252
19,-1,16,4.542e-05,1073.72,24382,mcfe.mtx,HLL,OpenMP,1.07372
20,-1,16,4.675e-05,1043.02,24382,mcfe.mtx,HLL,OpenMP,1.04302
21,-1,16,5.132e-05,950.27,24382,mcfe.mtx,HLL,OpenMP,0.95027
22,-1,16,5.32e-05,916.53,24382,mcfe.mtx,HLL,OpenMP,0.91653
23,-1,16,5.423e-05,899.21,24382,mcfe.mtx,HLL,OpenMP,0.8992100000000001
24,-1,16,5.738e-05,849.78,24382,mcfe.mtx,HLL,OpenMP,0.84978
25,-1,16,5.884e-05,828.73,24382,mcfe.mtx,HLL,OpenMP,0.82873
26,-1,16,7.348e-05,663.66,24382,mcfe.mtx,HLL,OpenMP,0.6636599999999999
27,-1,16,5.949e-05,819.65,24382,mcfe.mtx,HLL,OpenMP,0.81965
28,-1,16,6.184e-05,788.52,24382,mcfe.mtx,HLL,OpenMP,0.78852
29,-1,16,6.017e-05,810.45,24382,mcfe.mtx,HLL,OpenMP,0.81045
30,-1,16,5.992e-05,813.77,24382,mcfe.mtx,HLL,OpenMP,0.81377
31,-1,16,6.95e-05,701.64,24382,mcfe.mtx,HLL,OpenMP,0.70164
32,-1,16,7.064e-05,690.33,24382,mcfe.mtx,HLL,OpenMP,0.69033
33,-1,16,6.839e-05,713.06,24382,mcfe.mtx,HLL,OpenMP,0.7130599999999999
34,-1,16,7.437e-05,655.7,24382,mcfe.mtx,HLL,OpenMP,0.6557000000000001
35,-1,16,7.318e-05,666.36,24382,mcfe.mtx,HLL,OpenMP,0.6663600000000001
36,-1,16,7.579e-05,643.41,24382,mcfe.mtx,HLL,OpenMP,0.6434099999999999
37,-1,16,7.563e-05,644.75,24382,mcfe.mtx,HLL,OpenMP,0.64475
38,-1,16,7.759e-05,628.5,24382,mcfe.mtx,HLL,OpenMP,0.6285
39,-1,16,8.637e-05,564.62,24382,mcfe.mtx,HLL,OpenMP,0.56462
40,-1,16,0.00010552,462.12,24382,mcfe.mtx,HLL,OpenMP,0.46212000000000003
